method,model_size,parameters,seed,prune_amount,max_,original_max,original_max_time_elapsed,solve_time,sol_count,time_limit,first_solution,slurm_array_id
no_warm_start_dense_passing,"[100, 50, 50, 50, 1]",653,52,0.95,-0.0523682674762272,-0.0593108311295509,0.4795014858245849,0.4824204444885254,1,600,0.0249042157083749,
no_warm_start_dense_passing,"[100, 50, 50, 50, 1]",201,52,0.995,-0.0180641058832407,-0.0593108311295509,0.4991576671600342,0.5009615421295166,1,600,0.0249042157083749,
no_warm_start_dense_passing,"[100, 50, 50, 50, 1]",161,52,0.999,-0.0180641058832407,-0.0593108311295509,0.4910826683044433,0.4928276538848877,1,600,0.0249042157083749,
no_warm_start_dense_passing,"[100, 50, 50, 50, 1]",10201,53,0.0,0.2019287219807325,0.2019287347793579,535.8593463897705,600.8943619728088,249,600,0.183314710855484,
no_warm_start_dense_passing,"[100, 50, 50, 50, 1]",7186,53,0.3,0.2074803585398765,0.192311406135559,541.775173664093,600.4062833786011,788,600,0.183314710855484,
no_warm_start_dense_passing,"[100, 50, 50, 50, 1]",5176,53,0.5,0.1709025248862506,0.1730038374662399,312.9575607776642,600.5003023147583,1429,600,0.183314710855484,
no_warm_start_dense_passing,"[100, 50, 50, 50, 1]",2161,53,0.8,0.0867945127674351,0.1221457868814468,215.5657877922058,600.9713518619537,17423,600,0.183314710855484,
no_warm_start_dense_passing,"[100, 50, 50, 50, 1]",1156,53,0.9,0.0589756692366353,0.0490511879324913,0.28082275390625,0.2826967239379883,1,600,0.183314710855484,
no_warm_start_dense_passing,"[100, 50, 50, 50, 1]",653,53,0.95,0.0915805687586369,0.0490511879324913,0.3177332878112793,0.3195192813873291,1,600,0.183314710855484,
no_warm_start_dense_passing,"[100, 50, 50, 50, 1]",201,53,0.995,0.0774978548288345,0.0490511879324913,0.3119723796844482,0.3138210773468017,1,600,0.183314710855484,
no_warm_start_dense_passing,"[100, 50, 50, 50, 1]",161,53,0.999,0.0774978548288345,0.0490511879324913,0.2230172157287597,0.2245471477508545,1,600,0.183314710855484,
no_warm_start_dense_passing,"[100, 50, 50, 50, 1]",10201,54,0.0,0.0546501231272486,0.0546501167118549,507.0065155029297,600.6005985736847,209,600,-0.0007388927042484,
no_warm_start_dense_passing,"[100, 50, 50, 50, 1]",7186,54,0.3,0.0681638746664723,0.0657035559415817,600.3286969661713,600.5285177230835,364,600,-0.0007388927042484,
no_warm_start_dense_passing,"[100, 50, 50, 50, 1]",5176,54,0.5,0.0552186666940235,0.0477223210036754,403.53345489501953,600.5496406555176,746,600,-0.0007388927042484,
no_warm_start_dense_passing,"[100, 50, 50, 50, 1]",2161,54,0.8,-0.0068654289875704,0.0035169310867786,562.022408246994,600.6097595691681,5678,600,-0.0007388927042484,
no_warm_start_dense_passing,"[100, 50, 50, 50, 1]",1156,54,0.9,-0.0320344228738558,-0.0478155985474586,0.356112003326416,0.3581852912902832,1,600,-0.0007388927042484,
no_warm_start_dense_passing,"[100, 50, 50, 50, 1]",653,54,0.95,-0.0332795869761155,-0.0478155985474586,0.3192176818847656,0.3210937976837158,1,600,-0.0007388927042484,
